checkpoint_step,proposal_seed,method,view,state_id,candidate_count,direct_selection_eligible,anchor_teacher,anchor_student,oracle_index,selected_index,oracle_lift,selected_lift,predicted_lift,selector_capture_raw,selector_capture_display,qw_qa_exploitation_gap,teacher_twin_directional_agreement,teacher_twin_pair_count,teacher_twin_disagreement_median,selected_twin_disagreement,oracle_twin_disagreement,random_candidate_twin_disagreement,qw_pairwise_accuracy,qw_pair_count,qw_spearman,qw_top1_agreement,latent_pairwise_rms,decoded_action_pairwise_rms,tanh_saturation_fraction,out_of_envelope_fraction,finite
100000,2202,g_current,augmentation,0,1,1,1447.612548828125,1450.1475830078125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5.933349609375,5.933349609375,5.933349609375,5.933349609375,1.0,0,1.0,1.0,0.0,0.0,0.041666666666666664,0.0,1
100000,2202,g_current,augmentation,1,1,1,1469.399658203125,1478.6148681640625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5.947998046875,5.947998046875,5.947998046875,5.947998046875,1.0,0,1.0,1.0,0.0,0.0,0.041666666666666664,0.0,1
100000,2202,g_current,augmentation,2,1,1,1439.7059326171875,1434.7708740234375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5.2596435546875,5.2596435546875,5.2596435546875,5.2596435546875,1.0,0,1.0,1.0,0.0,0.0,0.08333333333333333,0.0,1
100000,2202,g_current,augmentation,3,1,1,1526.5128173828125,1543.8775634765625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,14.7513427734375,14.7513427734375,14.7513427734375,14.7513427734375,1.0,0,1.0,1.0,0.0,0.0,0.041666666666666664,0.0,1
100000,2202,g_current,augmentation,4,1,1,1550.876220703125,1532.624755859375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2.40576171875,2.40576171875,2.40576171875,2.40576171875,1.0,0,1.0,1.0,0.0,0.0,0.08333333333333333,0.0,1
100000,2202,g_current,augmentation,5,1,1,1604.740234375,1603.7930908203125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2.29541015625,2.29541015625,2.29541015625,2.29541015625,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,2202,g_current,augmentation,6,1,1,1619.2001953125,1615.7381591796875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.113037109375,0.113037109375,0.113037109375,0.113037109375,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,2202,g_current,augmentation,7,1,1,1624.325439453125,1627.3878173828125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,6.7374267578125,6.7374267578125,6.7374267578125,6.7374267578125,1.0,0,1.0,1.0,0.0,0.0,0.041666666666666664,0.0,1
100000,2202,g_current,augmentation,8,1,1,1588.3643798828125,1581.7913818359375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3.7598876953125,3.7598876953125,3.7598876953125,3.7598876953125,1.0,0,1.0,1.0,0.0,0.0,0.08333333333333333,0.0,1
100000,2202,g_current,augmentation,9,1,1,1626.2568359375,1624.7022705078125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.4134521484375,1.4134521484375,1.4134521484375,1.4134521484375,1.0,0,1.0,1.0,0.0,0.0,0.041666666666666664,0.0,1
100000,2202,g_current,augmentation,10,1,1,1628.434326171875,1627.3731689453125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.604248046875,0.604248046875,0.604248046875,0.604248046875,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,2202,g_current,augmentation,11,1,1,1609.66064453125,1604.12353515625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0228271484375,0.0228271484375,0.0228271484375,0.0228271484375,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,2202,g_current,augmentation,12,1,1,1636.6676025390625,1640.92919921875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,7.6278076171875,7.6278076171875,7.6278076171875,7.6278076171875,1.0,0,1.0,1.0,0.0,0.0,0.041666666666666664,0.0,1
100000,2202,g_current,augmentation,13,1,1,1617.34521484375,1616.0936279296875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.4110107421875,0.4110107421875,0.4110107421875,0.4110107421875,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,2202,g_current,augmentation,14,1,1,1639.25830078125,1638.1678466796875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0755615234375,0.0755615234375,0.0755615234375,0.0755615234375,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,2202,g_current,augmentation,15,1,1,1618.5999755859375,1623.5950927734375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.12744140625,0.12744140625,0.12744140625,0.12744140625,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,2202,g_current,augmentation,16,1,1,1610.4110107421875,1609.4105224609375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3.6236572265625,3.6236572265625,3.6236572265625,3.6236572265625,1.0,0,1.0,1.0,0.0,0.0,0.041666666666666664,0.0,1
100000,2202,g_current,augmentation,17,1,1,1519.246337890625,1507.5333251953125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,13.7498779296875,13.7498779296875,13.7498779296875,13.7498779296875,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,2202,g_current,augmentation,18,1,1,1358.518798828125,1354.6258544921875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,33.192626953125,33.192626953125,33.192626953125,33.192626953125,1.0,0,1.0,1.0,0.0,0.0,0.08333333333333333,0.0,1
100000,2202,g_current,augmentation,19,1,1,1645.48779296875,1642.4757080078125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2.114013671875,2.114013671875,2.114013671875,2.114013671875,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,2202,g_current,augmentation,20,1,1,1573.1695556640625,1559.6307373046875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,8.9759521484375,8.9759521484375,8.9759521484375,8.9759521484375,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,2202,g_current,augmentation,21,1,1,1628.385498046875,1628.44091796875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,8.3367919921875,8.3367919921875,8.3367919921875,8.3367919921875,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,2202,g_current,augmentation,22,1,1,1590.7113037109375,1581.6092529296875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.7930908203125,0.7930908203125,0.7930908203125,0.7930908203125,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,2202,g_current,augmentation,23,1,1,102.03408813476562,89.50593566894531,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,8.273567199707031,8.273567199707031,8.273567199707031,8.273567199707031,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,2202,g_current,augmentation,24,1,1,677.1935424804688,669.1100463867188,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,4.38116455078125,4.38116455078125,4.38116455078125,4.38116455078125,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,2202,g_current,augmentation,25,1,1,477.8424987792969,429.025390625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,15.34356689453125,15.34356689453125,15.34356689453125,15.34356689453125,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,2202,g_current,augmentation,26,1,1,1611.7406005859375,1614.0799560546875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,4.3397216796875,4.3397216796875,4.3397216796875,4.3397216796875,1.0,0,1.0,1.0,0.0,0.0,0.041666666666666664,0.0,1
