checkpoint_step,proposal_seed,method,view,state_id,candidate_count,direct_selection_eligible,anchor_teacher,anchor_student,oracle_index,selected_index,oracle_lift,selected_lift,predicted_lift,selector_capture_raw,selector_capture_display,qw_qa_exploitation_gap,teacher_twin_directional_agreement,teacher_twin_pair_count,teacher_twin_disagreement_median,selected_twin_disagreement,oracle_twin_disagreement,random_candidate_twin_disagreement,qw_pairwise_accuracy,qw_pair_count,qw_spearman,qw_top1_agreement,latent_pairwise_rms,decoded_action_pairwise_rms,tanh_saturation_fraction,tanh_saturation_applicable,tanh_generated_candidate_fraction,scaled_boundary_or_outside_fraction,out_of_envelope_fraction,finite
100000,4404,g_current,augmentation,0,1,1,1447.9317626953125,1452.8975830078125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,11.4168701171875,11.4168701171875,11.4168701171875,11.4168701171875,1.0,0,1.0,1.0,0.0,0.0,0.08333333333333333,1,1.0,0.08333333333333333,0.0,1
100000,4404,g_current,augmentation,1,1,1,1476.731201171875,1473.3472900390625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.06689453125,1.06689453125,1.06689453125,1.06689453125,1.0,0,1.0,1.0,0.0,0.0,0.08333333333333333,1,1.0,0.08333333333333333,0.0,1
100000,4404,g_current,augmentation,2,1,1,1440.0155029296875,1438.8414306640625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,7.145263671875,7.145263671875,7.145263671875,7.145263671875,1.0,0,1.0,1.0,0.0,0.0,0.16666666666666666,1,1.0,0.16666666666666666,0.0,1
100000,4404,g_current,augmentation,3,1,1,1537.0452880859375,1543.64892578125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,4.8189697265625,4.8189697265625,4.8189697265625,4.8189697265625,1.0,0,1.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1
100000,4404,g_current,augmentation,4,1,1,1547.333740234375,1537.0013427734375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,6.593505859375,6.593505859375,6.593505859375,6.593505859375,1.0,0,1.0,1.0,0.0,0.0,0.041666666666666664,1,1.0,0.041666666666666664,0.0,1
100000,4404,g_current,augmentation,5,1,1,1602.265625,1600.2427978515625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2.9302978515625,2.9302978515625,2.9302978515625,2.9302978515625,1.0,0,1.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1
100000,4404,g_current,augmentation,6,1,1,1617.8543701171875,1615.15185546875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.1907958984375,1.1907958984375,1.1907958984375,1.1907958984375,1.0,0,1.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1
100000,4404,g_current,augmentation,7,1,1,1625.2587890625,1623.7493896484375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,9.226318359375,9.226318359375,9.226318359375,9.226318359375,1.0,0,1.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1
100000,4404,g_current,augmentation,8,1,1,1582.1029052734375,1580.647705078125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,7.1932373046875,7.1932373046875,7.1932373046875,7.1932373046875,1.0,0,1.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1
100000,4404,g_current,augmentation,9,1,1,1626.7366943359375,1626.1351318359375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.157958984375,0.157958984375,0.157958984375,0.157958984375,1.0,0,1.0,1.0,0.0,0.0,0.041666666666666664,1,1.0,0.041666666666666664,0.0,1
100000,4404,g_current,augmentation,10,1,1,1625.41650390625,1628.5806884765625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.7080078125,0.7080078125,0.7080078125,0.7080078125,1.0,0,1.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1
100000,4404,g_current,augmentation,11,1,1,1608.169677734375,1604.6751708984375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.3809814453125,1.3809814453125,1.3809814453125,1.3809814453125,1.0,0,1.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1
100000,4404,g_current,augmentation,12,1,1,1637.6072998046875,1639.9173583984375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5.8924560546875,5.8924560546875,5.8924560546875,5.8924560546875,1.0,0,1.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1
100000,4404,g_current,augmentation,13,1,1,1616.4324951171875,1615.135986328125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.3719482421875,0.3719482421875,0.3719482421875,0.3719482421875,1.0,0,1.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1
100000,4404,g_current,augmentation,14,1,1,1638.7886962890625,1639.2843017578125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.8697509765625,0.8697509765625,0.8697509765625,0.8697509765625,1.0,0,1.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1
100000,4404,g_current,augmentation,15,1,1,1618.4315185546875,1621.2081298828125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.5635986328125,0.5635986328125,0.5635986328125,0.5635986328125,1.0,0,1.0,1.0,0.0,0.0,0.041666666666666664,1,1.0,0.041666666666666664,0.0,1
