checkpoint_step,proposal_seed,method,view,state_id,candidate_count,direct_selection_eligible,anchor_teacher,anchor_student,oracle_index,selected_index,oracle_lift,selected_lift,predicted_lift,selector_capture_raw,selector_capture_display,qw_qa_exploitation_gap,teacher_twin_directional_agreement,teacher_twin_pair_count,teacher_twin_disagreement_median,selected_twin_disagreement,oracle_twin_disagreement,random_candidate_twin_disagreement,qw_pairwise_accuracy,qw_pair_count,qw_spearman,qw_top1_agreement,latent_pairwise_rms,decoded_action_pairwise_rms,tanh_saturation_fraction,out_of_envelope_fraction,finite
100000,3303,g_current,augmentation,0,1,1,1450.621826171875,1448.668701171875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3.577392578125,3.577392578125,3.577392578125,3.577392578125,1.0,0,1.0,1.0,0.0,0.0,0.16666666666666666,0.0,1
100000,3303,g_current,augmentation,1,1,1,1479.4659423828125,1473.3138427734375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.7021484375,1.7021484375,1.7021484375,1.7021484375,1.0,0,1.0,1.0,0.0,0.0,0.041666666666666664,0.0,1
100000,3303,g_current,augmentation,2,1,1,1438.8465576171875,1439.84130859375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5.198486328125,5.198486328125,5.198486328125,5.198486328125,1.0,0,1.0,1.0,0.0,0.0,0.16666666666666666,0.0,1
100000,3303,g_current,augmentation,3,1,1,1536.3477783203125,1539.6448974609375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3.6380615234375,3.6380615234375,3.6380615234375,3.6380615234375,1.0,0,1.0,1.0,0.0,0.0,0.08333333333333333,0.0,1
100000,3303,g_current,augmentation,4,1,1,1551.371337890625,1536.5631103515625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2.922607421875,2.922607421875,2.922607421875,2.922607421875,1.0,0,1.0,1.0,0.0,0.0,0.041666666666666664,0.0,1
100000,3303,g_current,augmentation,5,1,1,1604.183837890625,1602.7584228515625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2.57080078125,2.57080078125,2.57080078125,2.57080078125,1.0,0,1.0,1.0,0.0,0.0,0.041666666666666664,0.0,1
100000,3303,g_current,augmentation,6,1,1,1618.4517822265625,1617.4425048828125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.23876953125,0.23876953125,0.23876953125,0.23876953125,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,3303,g_current,augmentation,7,1,1,1623.470458984375,1625.7708740234375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5.63232421875,5.63232421875,5.63232421875,5.63232421875,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,3303,g_current,augmentation,8,1,1,1583.7357177734375,1575.6751708984375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5.1351318359375,5.1351318359375,5.1351318359375,5.1351318359375,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,3303,g_current,augmentation,9,1,1,1625.780517578125,1624.2513427734375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.6826171875,1.6826171875,1.6826171875,1.6826171875,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,3303,g_current,augmentation,10,1,1,1625.9312744140625,1628.1800537109375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.794921875,0.794921875,0.794921875,0.794921875,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,3303,g_current,augmentation,11,1,1,1607.941650390625,1605.7633056640625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.312255859375,1.312255859375,1.312255859375,1.312255859375,1.0,0,1.0,1.0,0.0,0.0,0.041666666666666664,0.0,1
100000,3303,g_current,augmentation,12,1,1,1630.551513671875,1637.819580078125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,11.08935546875,11.08935546875,11.08935546875,11.08935546875,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,3303,g_current,augmentation,13,1,1,1617.384033203125,1616.511962890625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.4185791015625,0.4185791015625,0.4185791015625,0.4185791015625,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,3303,g_current,augmentation,14,1,1,1640.8623046875,1637.0843505859375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,4.4449462890625,4.4449462890625,4.4449462890625,4.4449462890625,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,3303,g_current,augmentation,15,1,1,1617.1927490234375,1620.7386474609375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.8525390625,0.8525390625,0.8525390625,0.8525390625,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,3303,g_current,augmentation,16,1,1,1609.8702392578125,1602.6680908203125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,4.0760498046875,4.0760498046875,4.0760498046875,4.0760498046875,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,3303,g_current,augmentation,17,1,1,1531.256591796875,1509.0230712890625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3.6651611328125,3.6651611328125,3.6651611328125,3.6651611328125,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,3303,g_current,augmentation,18,1,1,1361.19921875,1355.7030029296875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,31.056396484375,31.056396484375,31.056396484375,31.056396484375,1.0,0,1.0,1.0,0.0,0.0,0.08333333333333333,0.0,1
100000,3303,g_current,augmentation,19,1,1,1647.0655517578125,1645.4683837890625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.7781982421875,0.7781982421875,0.7781982421875,0.7781982421875,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,3303,g_current,augmentation,20,1,1,1573.493896484375,1559.3746337890625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,6.9803466796875,6.9803466796875,6.9803466796875,6.9803466796875,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,3303,g_current,augmentation,21,1,1,1632.1551513671875,1628.7095947265625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5.60791015625,5.60791015625,5.60791015625,5.60791015625,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,3303,g_current,augmentation,22,1,1,1593.8277587890625,1575.7386474609375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.6796875,1.6796875,1.6796875,1.6796875,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,3303,g_current,augmentation,23,1,1,98.5931625366211,94.15008544921875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,11.313323974609375,11.313323974609375,11.313323974609375,11.313323974609375,1.0,0,1.0,1.0,0.0,0.0,0.041666666666666664,0.0,1
100000,3303,g_current,augmentation,24,1,1,682.2150268554688,671.3799438476562,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,9.59002685546875,9.59002685546875,9.59002685546875,9.59002685546875,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
100000,3303,g_current,augmentation,25,1,1,491.2026062011719,435.5977478027344,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,7.444366455078125,7.444366455078125,7.444366455078125,7.444366455078125,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1
